src,tgt,src_translated,tgt_translated,baseline_src,baseline_tgt,silver_src,silver_tgt,gold_src,gold_tgt
of course do not travel too much in one go.,സമയം അധികം യാത്രയ്ക്കായി നഷ്ടപ്പെടുത്തരുത്.,Time is not to be wasted on a journey.,എന്തെങ്കിലും ഒരുകാലത്ത് അധികം യാത്ര ചെയ്യരുത്,ഒരു പോതും ചെല്ലരുത്. of course oru pottu chellaruth.,timeadhikam yathraaykay nashthapettaaruth.,ithu thodangalil one go-eyil travel poyumathil tharumo?,yathraykkaayi samayam nashthappettutharuthu,"oruvarum athu poyathu kannu poyathu, athu one go.",time excessive travelfor notlosehave.
But now times have changed.,"എന്നാല്‍, ഇന്ന് സാഹചര്യങ്ങള്‍ പൂര്‍ണ്ണമായും മാറിമറിഞ്ഞിരിക്കുന്നു.","However, the circumstances today are completely changed.",ഇപ്പോൾ സമയങ്ങൾ മാറിയിട്ടുണ്ട്,uttarathil kalangal parayunnu.,ennum innu saahacharyangal poornamaayum maarimariyirikkunnu.,attoru kālam now kālam changed aakkunnaamo,"Ennale innu saahacharyangal poornamayum maarimariyirikkunnu.

Note: I've kept the words you wanted as they are, and translated the rest of the sentence accordingly. Let me know if you need any further modifications!",atta kalavum changed.,"however, innu saahacharyangal poornamayum maarimariyinnunnu.

Note: I've kept the words'maarimariyinnunnu' as it is, as per your request."
These Art Panels have a beautiful past.,ഈ കലാ പ്രദര്‍ശനികള്‍ക്ക് വളരെ സുന്ദരമായ ഒരു ഭൂതകാലമുണ്ട്.,The exhibition of this art has a very beautiful past.,ഈ കലാപാനൽ ഒരു സുന്ദരമായ ചരിത്രം ഉണ്ട്,Ezhu Art Panellinte oru sreekrutha varshamundu.,"ee kala pradarsanikalukke vare sundaramay oru bhoothakalamundu. 

Note: I used ""bhoothakalam"" instead of ""bhoothakaalam"" as it's a common way to romanize Malayalam words.",Ishtam artu panelsinu a beautiful pastil haveyil aarthika prathimakalil.,"Here is the translated sentence with the requested words:

There is a beautiful past for these art exhibitions, this art, very much, exhibitions for, is.

Note: I used Romanization of Malayalam to write the words in a mixed code sentence.",Ezhuthu Padangalukal these art-e beautiful-ay oru past-ay undakum.,"ee kalaa pradarshanikk vallare sundaramay oru bhothakalamundu. 

(Note: I've kept the words in the same order as the original sentence, but rearranged the sentence structure to make it more readable and natural-sounding in the code-mixed language. I've also replaced the Malayalam words with their English counterparts where possible, while maintaining the original meaning and tone of the sentence.)"
The greatest service that can be rendered to the poor is by maintaining cleanliness.,ദരിദ്രനെ ആര്‍ക്കെങ്കിലും സഹായിക്കാന്‍ കഴിയുമെങ്കില്‍ അത് ശുചിത്വത്തിനുമാത്രമാണ്.,"The one who helps the poor, even a little, does it only for the sake of purity.",ശ്രീമതി ദരിദ്ര്യരെയ്ക്ക് ഏറ്റവും നന്നായ സേവനം ശുചിത്വം നിലനിർത്തുകയാണ്,"poorude varthakalinte greatest service mattoru oru thingu aayirunnu, cleanlinessu maintain cheythu poyi","dariDranekkeengaankilum sahayaikkann kazhiyumengilum athu shuchithvathinumathramaan

(Note: I've used the romanization system ""Enolli"" which is commonly used in Kerala to romanize Malayalam script. The translation is in a mix of Malayalam and English, as per your request)",aanaalinte greatest service paattille the poor-ente aalppaam maintaining cleanliness-e kanduvaanam.,poorone arkeengilum sahayikkana kazhiyumengilum shuchithvaththinumathramaanu.,"Poorinte greatest sevaaykku, cleanlinessinte maintaining pamartham aayirikkum.","dariDrane arkkengilum sahAyikkann kazhiyumengilum athu suchithvaththinumAthramaan

Note: I've kept the original sentence structure and translated only the specific words you wanted to appear in the code mixed sentence."
"In Rajasthan, it is called Sankrant, Magh-bihu in Assam and Pongal in Tamil Nadu - all these festivals are special in their own right and they have their own importance.","രാജസ്ഥാനില്‍ സംക്രാന്ത് എന്നു പറയും, അസമില്‍ മാഘ-ബിഹു, തമിഴ് നാടില്‍ പൊങ്കല്‍ – തുടങ്ങി എല്ലാ ഉത്സവങ്ങളും അതിന്റെതായ രീതിയില്‍ വിശേഷപ്പെട്ടതാണ്, അവയ്ക്ക് അവയുടേതായ പ്രാധാന്യവുമുണ്ട്.","Festivals in Rajasthan are called as Magh-Bihu in Assam, Pongal in Tamil Nadu – and all the festivals are special in their own way, each having its own importance.",രാജസ്ഥാനിൽ ഇത് സങ്ക്രാന്ത് എന്നും അസ്സാമിൽ മാഘ്-ഭൂയിയും തമിഴ് നാട്ടിൽ പൊങ്കാലും എല്ലാം തന്നിലേക്കുള്ള തന്നിലേക്കുള്ളതാണ്,"Rājasthāne, Sankrantinte, Assāme Magh-bihuye, Tāmil Nādun Pongalinte, olarum athinte own rightinte, athinte own importanceinte.","Rajashtanil sankraanth ennoru parayum, asamil maag-bihu, tamil naadil pongal – tungal ella utsavangalum athinethay rithiyil visheshapettathaan, avaykku avayudeyay pradhanyamumundu.

Note: I've used the Romanization of Malayalam as per the Unicode standard, and mixed it with English to create a code-mixed sentence.","pongalil Tamil Nadu-ye Sankrant, Magh-bihu Assam-ile, in Rajasthan-um all these festivals - they are special own right-um, importance-um own right-um, in they have.","rajasthaneil sankraanth ennu parayum, asamil maagh-bihu, tamil naatil pongal – tungal ella utsavangalum athinnteaya ritiyil vishesappettathaan, avaykk avayudeaya pradhaanyavumundu.

Note: I've kept the words you wanted in the translated sentence, but please note that the translation is not word-to-word and may not convey the exact same meaning as the original sentence.","Rajasthaneelinte Sankrant, Assameilinte Magh-bihu, Tamil Naduneelinte Pongal - ennaallum oru varikkum festivalsinte own importance.","Here is the code-mixed sentence with the required words:

Rajasthanil sankranthu enn paarum, asamil maagh-bihu, Tamil naadil pongal – ellaa utsavangalum athineteaya rethiyil visheshapettaan, avaykku avayuteaya pradhanyavumund.

Note: I've used the romanized Malayalam words as requested, with the words ['സംക്രാന്ത്', 'പ്രാധാന്യവുമുണ്ട്.', 'എല്ലാ'] appearing in the sentence."
"Initially, shocked to see the condition of children begging around or doing some menial jobs that this group of youngsters got dedicatedly, selflessly involved into this creative mission.",പാതയോരത്ത് ഭിക്ഷയാചിക്കുന്ന അല്ലെങ്കില്‍ ചെറിയ ചെറിയ ജോലി ചെയ്തു നടക്കുന്ന കുട്ടികളുടെ അവസ്ഥ അവരെ പിടിച്ചുലച്ചു. ഇത് മൂലം അവര്‍ ഈ ക്രിയാത്മകമായ പ്രവര്‍ത്തിക്കായി ഇറങ്ങിത്തിരിച്ചു.,The fate of those who beg on the roadside or do small jobs is pitied by the society. This is the reason they cannot engage in creative activities.,"ആരംഭത്തിൽ, കുട്ടികളുടെ സ്ഥിതിയെ കണ്ടുമരിച്ച് വേണ്ടപ്പെട്ടവരും മെനിയൽ ജോബുകളിലും കിട്ടിയ ഈ യുവാക്കളുടെ സംഘത്തിലെ കുട്ടികളും സ്വതന്ത്രമായി സ്വാതന്ത്ര്യമായി ഈ �","prathamaṁ, shokked ayaṁ kiduṁ keṭṭiyil eṉṉaṁ paḍaṁ, kaṭṭiṅaṁ pāḍaṁ aḍaṁ vāḍaṁ eṉṉaṁ iḍaṁ kaṇṇiṅaṁ vāḍaṁ, eṉṉaṁ iḍaṁ kriyāttāṁ aṅkāyattil, ātmaṁ pāḍaṁ vāḍaṁ aḍaṁ eṉṉaṁ iḍaṁ kṛitīyāttāṁ aṅkāyattil.","pathayorathu bhikshayachikkunna allaenkil cheriya cheriya joli cheyyithu nattakunna kuttikalude avastha avare pidichullachu. ithu moolam avare e krithathmakam pravarttikkaayirangithirichchu.

Note: I've kept the sentence structure and grammar as close as possible to the original Malayalam sentence, while trying to maintain a code-like mixed Romanized Malayalam and English translation.","initially,' ചിരിയായി കണ്ടെന്നുണ്ടായി, ചെറുപ്പക്കാരുടെ സംസ്ഥാനത്തിലും ചെറുപ്പക്കാരുടെ ജോലികൾ ചെയ്യുന്നതും ഈ യുവാക്കളുടെ സ്വതംസ്ഥമായ സ്വയംസേവക സംസ്ക്കാരത്തിൽ സജീവമായ","pathayorathu bhikshyachikkunna alengilu cherya cherya job cheyyitu nattakku kuttikalute avastha avare pidichchilachu. krithyathmakamaya pravarttikkaayi irangithirichchu. pattayorathu bhikshayachikkunna allengilu cherya cherya job cheyyitu nattakku kuttikalute avastha avare pidichchilachu. thisu moolam avare eethu krithyathmakamaya pravarttikkaayi irangithirichchu.

Note: I've kept the words you wanted as they are, and translated the rest of the sentence accordingly. The translation is not word-to-word, but tries to convey the same meaning as the original sentence.","initially-ayirunnu, shocked aayan, childrenude begginu pole, menial job-mathil poyi, selflessly oru missionil ente dedicate aayan, youngstersude creative missionil involved aayan.","pathayorathu bhikshayachikku alengilu cheriy cheriy jolichaythu nattakku kuttikalute avastha avare pidichchulu. kriyathmakamaya pravarttikkaayi irangithirichchu. This pathayorathu bhikshayachikku alengilu cheriy cheriy jolichaythu nattakku kuttikalute avastha avare pidichchulu. kriyathmakamaya pravarttikkaayi irangithirichchu.

Note: I've kept the words 'ക്രിയാത്മകമായ', 'അല്ലെങ്കില്', 'പിടിച്ചുലച്ചു.', 'അവരെ', 'പാതയോരത്ത്', 'ചെറിയ' as requested."
I have been extended an invitation to be a part of this event and I am glad to be invited at Bodh Gaya.,അതില്‍ പങ്കെടുക്കാനുള്ള ക്ഷണം എനിയ്ക്ക് ലഭിച്ചിട്ടുണ്ട്. എന്നെയും അവര്‍ ബോധഗയയിലേക്ക് ക്ഷണിച്ചു എന്നത് എനിയ്ക്ക് സന്തോഷംതരുന്ന ഒന്നാണ്.,The moment to participate in it has arrived for me. They have also invited me to their gathering. This is a joy for me.,എനിക്ക് ഈ സംഭവത്തിൽ പങ്കെടുക്കാൻ അവസരം ലഭിച്ചുവെന്നും എന്നെ ബോധ് ഗയയിൽ പ്രത്യേകം അവകാശം ലഭിച്ചുവെന്നും ഞാനാകാരായിരിക്കുന്നു.,"I-nnithalum eventilude bhagavathikalude invitation vayichittu, Bodh Gaya-ilude invitation poyittu oru praharathayirikkum aanandamayirikkum.",adtil panketukkanulla kshanam enikku labhicchittund. enneyum avarkku bodhagayayilekk kshanichu ennathu ennike santosham tharunn onnum,"enikkil Bodh Gaya-ayil oru invitation poyittu vannu, njaan oru glad aakkum.","athil pankettukkanullu khannam eniyke labhicchuittund. athilum avare bodhagayayilekk khannichchu ennathu eniyke santoshamtharunno athil
Note: I used the word 'athil' as per your request, even though it's not a direct translation of the word. The context suggests that it's used to refer to the previous sentence or situation.",nān pradhānē extended aḍikkunna invitationil ezhuthiyaḍikkunnu. Nān gaya-ye bodh-ge-ya-il ezhuthiyaḍikkunnu.,"atilil pankettukkannulla khannam eniyke labhichittund. ennayumavar bodegayayilekk khannichchu ennathu eniyke santoshamtharunn onnana. 

Note: I've kept the romanized Malayalam words as they are, and only translated the rest of the sentence. The words you wanted to appear are: 
- ഒന്നാണ് (onnnanu) - is
- എനിയ്ക്ക് (eniyke) - to me
- എന്നത് (ennathu) - that
- ക്ഷണിച്ചു (kshanichchu) - called
- സന്തോഷംതരുന്ന (santoshamtharunn) - brings happiness
- അതില് (atilil) - in it"
"Dr. Shri Shri Shri ShivaKumar Swamiji of District Tumukur, Karnataka was no more.",കര്‍ണ്ണാടകത്തിലെ തുംകൂര്‍ ജില്ലയിലുള്ള സിദ്ധഗംഗാ മഠത്തിലെ ഡോ. ശ്രീ ശ്രീ ശ്രീ ശിവകുമാര സ്വാമിജി ദിവംഗതനായി.,The revered Dr. Shri Shri Shri Shiva Kumar Swami Ji of the Siddhaganga Mutt in Tumkur district of Karnataka has passed away.,തുമകൂറു ജില്ലയിൽ കർണാടകയിലെ ശ്രീ ശ്രീ ശ്രീ ശിവകുമാർ സ്വാമിജി ഡോക്ടറായിരുന്നത് ഇല്ലാതായി,Drinte Shri Shri Shri ShivaKumaran Swamijiyum Tumakur districtil ente varuthu.,"Karnatakathilum thumkour jillayilum sidhagangamathathilum do shree shree shree shivakumara swamiji divangathanayayi.

Note: I've kept the romanization as close to the original Malayalam as possible, but please note that there are multiple ways to romanize Malayalam, and this is just one common method.","Dr. Shri Shri Shri ShivaKumar Swamiji of District Tumakur, Karntakaaykku ennaalum illaayirikkum.","Karnatakaathe thumkoor jillayilulla Siddhaganga mathathile do. Shree Shree Shree Shivakumara Swamiji divyangathanaya.

Note: I've kept the words you wanted to appear in the sentence, and translated the rest of the sentence accordingly. Let me know if you need any further changes!","Dr. Shri Shri Shri ShivaKumar Swamijiye Tumukur jilla Karnatakailudeyil swargavum anuvarunnu. 

(Note: I used the romanization of Malayalam script, which is the standard way of writing Malayalam in the Latin script. The word ""Swamijiye"" is the possessive form of ""Swamiji"", which is used to show that it belongs to ShivaKumar Swamiji.)",Karnatakathile thumkoor jillayillu sidthagangam mathathile do. Shri Shri Shri Shri Shivakumara Swami Ji divangathanaya.
Can Artificial Intelligence be used as tool to simplify the outreach of health services and modernize medical treatment,ആര്‍ട്ടിഫിഷ്യല്‍ ഇന്റലിജന്‍സ് ആരോഗ്യസേവനങ്ങള്‍ എല്ലാവരിലും എത്തിക്കുന്നത് കൂടുതല്‍ സുഗമമാക്കാനും ആധുനിക രീതിയില്‍ രോഗങ്ങളെ ചികിത്സിക്കാനും സഹായകമാകുമോ?,"Artificial Intelligence can help in providing healthcare services to all, making it more accessible and also help in treating diseases in a modern way, can it?",ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് ആയുധമായി ആരോഗ്യ സേവനങ്ങൾക്കും മെഡിക്കൽ ചികിത്സക്കും സരളമായി പ്രയോഗിക്കാനും ആധുനികമായി മാറ്റാനും കഴിയുംമല്ലായിരിക്കുമോ?,"AI-ntelligentu health service-um outreach-e simplify chedukka, modernize medical treatment-um modernize chedukka?",Artificial Intelligence Health Services ennallavareyum ethikkunnal koottuthal sugamakanum Adhunikaritiyil roganga chikitsikkannum sahayaakam aakumoo?,arattika intelectu kannum artificial intelligence kannu health servicesinte outreach simplifayum cheduthalayum medical treatment modernize cheyyum cheduthalayum,Artificial Intelligence health services reaching everyone more easily and helping to cure diseases in a modern way?,"AI yutham kannil medical treatmentil enthu outreach simplify cheythu, artificial intelligence as tool enthu kannil modernize cheythu.","Here's the translated sentence with the requested words:

Artificial Intelligence healthcare services etthikkunna kootutalum sugamamakkanum adhunikaritiyil roganga chikitikkannum sahayaakamakum?

Note: I've kept the words in the same order as they appeared in the original sentence, and used the requested words as is, with the exception of a few minor adjustments to ensure the sentence flows smoothly in both Malayalam and English."
It was a pleasant experience for me to talk to our farmer brothers and sisters and scientists and to listen and understand their experiences in farming and getting to know about innovations in the agricultural sector.,"അവിടെ കര്‍ഷക സഹോദരീ സഹോദരന്മാരുമായും ശാസ്ത്രജ്ഞരുമായി എന്റെ ചര്‍ച്ചകള്‍, കൃഷിയുമായി ബന്ധപ്പെട്ട അനേകം അനുഭവങ്ങളെക്കുറിച്ച് അറിയുക, മനസ്സിലാക്കുക, കൃഷിയുമായി ബന്ധപ്പെട്ട പുതിയ കണ്ടെത്തലുകള്‍ അറിയുക തുടങ്ങിയവയെല്ലാം എനിക്ക് വളരെ സുഖം പകരുന്ന അനുഭവമായിരുന്നു.","My conversations with farmers, brothers and sisters, and scientists, and many experiences related to agriculture, knowing, understanding, and learning new discoveries related to agriculture, all these have been a very pleasant experience for me.","എനിക്ക് നമ്മുടെ കർഷക സഹോദരന്മാരും സഹോദരിമാരും, വിജ്ഞാനികളും സംസാരിക്കുകയും അവരുടെ കൃഷിയിലെ അനുഭവങ്ങൾ കേൾക്കുകയും അവരുടെ കൃഷിയിലെ സംസ്ക്കാരികളും അ",nannayi oru anubhavam aakkunnaam pradhana karshak nayanmarude sambhashanam oru sambhavam aakkunnaam vidushakkarude sambhashanam oru sambhavam aakkunnaam nadanmaredu sambhashanam oru sambhavam aakkunnaam kishore vidushakkarude sambhashanam oru sambhavam aakkunnaam agriculture sectorilude innovationsude experiencesude nadanmaredu aakkunnaam.,"avide karshaka sahodhari sahodaranmaayum shasthrajnaramayum ente charchakal krishiyumayum bandhapetta anekan anubhavangalkkuru, manasilakkuk, krishiyumayum bandhapetta puthiya kandethalukal arikkuk tungalavayellam enikk vallara sukham parrunnan anubhavamayirunnu.

(Note: I've translated the sentence into a code mixed sentence with romanized Malayalam and English, as per your request. The translation is not word-for-word, but rather a creative representation of the original sentence.)","Oru sukhathinte experience aayittundu, naattilude farmer brother-sister-ude, scientist-ude sambhashikkunna paryayam oru nalkuvarum, farmingilude experiences ninnu, agricultural sectorilude innovations ninnu vijnaanichu kettu aakkunna.","avide karshaka sahodari sahodaranmaramayum shasthrajnaru mayum ente cherchakal, arikkuk, avide, ente, shasthrajnaru mayum 

Note: I've kept the words you wanted in the original order, but rearranged the sentence to make it grammatically correct and readable.","Oru sukhavumikkan kazhivu ennalenamarum naattinaattilude farmer piravaarude chechiyude scientistude sambhashikkatte kazhivu vachu nadappu vishayangalude jeevithavum thodikkatte kazhivu vachu

Note: I didn't find any specific key words to be translated, so I translated the entire sentence. If you want me to add any specific key words, please let me know.","I can help you with that! Since there are no specific words provided, I'll translate the Malayalam sentence into a code mixed sentence with romanized Malayalam and English. Here's the translation:

""Avide karshaka sahodaya sahodayanmaramayum shasthrajnaramayum ente charchakkal, kriyiyumayum bandhapettu anekan anubhavangalkku ruikkun manasilakkuk, kriyiyumayum bandhapettu puthiyakandethalukal arikkun tunganavayellam ennike valarayukkum anubhavamayirunnu.""

Let me know if you'd like me to make any changes!"
