generated,src,tgt,id,label
"In S-League stadium, la, Fijian team seven-a-side olive ball finals 中, knock down England team 43 比 7, get gold medal, ah!",Fiji claimed the gold medal after defeating Great Britain 43-7 in the rugby sevens final at Deodoro Stadium.,在 多 多罗 体育场 举行 的 七人制 橄榄球 决赛 中 ， 斐济 队以 43 比 7 击败 英国队 夺得 金牌 。,c0f0fe63-f65d-4ce4-a81a-6076c843873f,
I 收藏 的就是建国后两度复刊时的创刊号，they 从一个侧面反映出，中国工人一直站在时代前列，为社会发展贡献力量，and 引领时代的前进步伐。,"What I collect is the initial issues of magazines published during the country's two times of publication resumption after its founding. They reflect that Chinese workers are always in the forefront of the times, contribute to social development and lead progress of the times.",我 收藏 的 ， 就是 建国 后 两度 复刊 时 的 创刊号 ， 它们 从 一个 侧面 反映 出 ， 中国 工人 始终 站 在 时代 前列 ， 为 社会 发展 贡献力量 并 引领 时代 的 前进 步伐 。,b62be105-4ec8-4764-b092-8743819f431a,
"According to 中国 国家统计局 data, 上半年 服务业占 GDP 比重 达到 了 54.1％, and consumption 对 经济增长 的贡献率 达到 了 73.4％.","According to the National Bureau of Statistics of the People's Republic of China, China's service industry accounted for 54.1% of its GDP in the first half, and the contribution rate of consumption to economic growth reached 73.4%.",中国 国家统计局 数据 显示 ， 上半年 中国 服务业 占 GDP 比重 达到 了 54.1 ％ ， 消费 对 经济 增长 的 贡献率 达到 了 73.4 ％ 。,14f3d395-188d-4623-b607-c60a5ffca2be,
"作为 Bloody Beetroots，Rifo 是以他的电子舞曲闻名，跟 legendary 的 Sir Paul McCartney 还有 electro-pop singer Greta Svabo Bech 合作过，在2013年的歌 ""Chronicles of a Fallen Love""。","As the Bloody Beetroots, Rifo is known for his electronic dance music and has collaborated with artists from the legendary Sir Paul McCartney to electro-pop singer Greta Svabo Bech in the 2013 song, ""Chronicles of a Fallen Love.""",正如 血腥 甜菜 根 一样 ， 里福因 其 电子 舞曲 而 知名 ， 他 在 2013 年 与 包括 传奇人物 保罗 · 麦 卡特 尼 爵士 和 电子 乐 流行 歌手 葛丽泰 · 斯瓦伯 · 比彻 在内 的 艺术家 合作 创作 了 歌曲 《 堕落 爱情 编年史 》 。,3d7d3fda-8081-4c84-9e31-37060ca0eeae,
普利斯 在 职业生涯 中 起用 年轻 球员 的 效率 真的是慢到臭名昭著，尤其是在 上个赛季 对 利物浦的 1 - 1 平局 中，三名青少年球员（乔纳森 · 莱科、山姆 · 菲尔德 和 泰勒 · 罗伯茨） 不太可能 成为常态。,"Pulis has been notoriously slow to promote young players throughout his career and the sight of three teenagers - Jonathan Leko, Sam Field and Tyler Roberts - in the final game of last season, a 1-1 draw with Liverpool, is unlikely to become the norm.",普利斯 在 职业生涯 中 起用 年轻 球员 的 效率 之慢 可谓 臭名昭著 ， 在 上 个 赛季 以 1 - 1 战平 利物浦队 的 最后 一场 比赛 中 进入 其 视野 的 三名 青少年 球员 （ 乔纳森 · 莱科 、 山姆 · 菲尔德 和 泰勒 · 罗伯茨 ） 不太可能 成为 常态 。,19f5c79f-5a7e-4728-8642-719a4f98cbd7,
"Before this, referendum initiative got plenty of support, people move in record numbers during collect signature phase.",Until recently the referendum initiative had plenty of support - people moved in unprecedented numbers during the collection of signatures phase.,直至 最近 ， 公民投票 的 倡议 还 得到 大量 支持 ， 在 收集 签名 的 阶段 ， 动员 起来 的 人数 达到 了 前所未有 的 规模 。,b7bd1542-3a9c-4c85-bc2e-c97a8c2a1bb9,
因为越来越多的中国海警船和其他政府船只在中国东海有争议的小岛附近航行，关系 between 中国 and 日本 这两个亚洲最大的经济体 lately 越来越紧张。,"Ties between China and Japan, Asia's two largest economies, have been strained of late after a growing number of Chinese coastguard and other government ships sailed near disputed islets in the East China Sea, called the Senkaku in Japan and Diaoyu in China.",由于 越来越 多 的 中国 海警 船 和 其他 政府 船只 在 中国 东海 上 有 争议 的 小岛 （ 日本 称之为 尖阁 列岛 ， 中国 称之为 钓鱼岛 ） 附近 航行 ， 中国 和 日本 这 两个 亚洲 最大 的 经济体 之间 的 关系 近来 趋于 紧张 。,8daaeb40-99c3-4f0c-8f5a-002ac59caa75,
台湾媒体会跟随这个自驾游去拍摄宁德的风景区，然后带回台湾做推广。,Taiwan media will follow this self-driving travel to take photos of the scenic areas in Ningde and bring them back to Taiwan for promotion.,台湾 媒体 随行 这次 自驾游 之旅 ， 将 对 宁德 景区 进行 拍摄 ， 并 带回 台湾 宣传 推介 。,efd0bf6c-8713-4b5d-9e9b-59839d2fba47,
"From 某些方面, Macy's 裁减店铺 should not be 一种惊喜.","In some ways, it should not come as a surprise that Macy's is slashing stores.",从 某些 方面 而言 ， 梅西 百货 裁减 店铺 不应 是 一种 惊喜 。,5268cba8-8320-4fa7-a615-96d797c90603,
"Coalition of politicians, ah bengs, and Catholic leaders, super fast mobilize, accusing government of President Juan Manuel Santos promote unions, ah, same-sex relationships and gender fluidity, lor!","A coalition of politicians opposed to the government and leaders of the Catholic Church mobilized with extraordinary speed, accusing the government of President Juan Manuel Santos of promoting same-sex unions and gender fluidity.",反对 政府 的 政治家 联盟 和 天主教会 领袖 以 超常 的 速度 动员 起来 ， 指控 总统 胡安 · 曼努埃尔 · 桑托斯 领导 的 政府 推动 同性 结合 与 性别 流动 。,a84dde85-6e3c-4f09-a928-e6b1164bd012,
