generated,src,tgt,id,label
"Lah, China leh, or maybe China leh, want to commemorate that silent way ah, on the first anniversary of the chemical explosion that happened one year ago, but not every ah-pek think so.","China's leaders may want muted commemorations to mark the first anniversary of the massive chemical blast that killed 173 people, but not everyone agrees.",中国 领导人 或许 想以 无声 的 方式 来 纪念 那场 致使 173 人 遇难 的 化学品 大 爆炸 过去 后 的 第一个 周年 ， 但 并非 每个 人 都 这么 想 。,846185ae-5410-4ed9-897f-9e10ff579410,
"Mr. Hogg 表示, 依赖于 hunting 的 full-time jobs 数量 超过了 爱丁堡国际艺术节, 边缘艺术节, fringe performance 和 New Year’s Eve 活动 所创造的工作岗位的总和。","Mr Hogg said the number of full-time jobs relying on shooting exceeded the posts created by the Edinburgh International Festival, the Fringe, Tattoo and Hogmanay combined.",霍格 先生 表示 ， 依赖于 狩猎 的 全职 工作 数量 超过 了 由 爱丁堡 国际 艺术节 、 边缘 艺术节 、 分列式 表演 和 除夕 活动 所 创造 的 工作岗位 的 总和 。,e47d95b9-4b2b-467c-a7fc-beef18a97ffc,
威斯特摩兰县的急救服务中心的女发言人介绍说，受伤的孩子（他的身份没有透露）被空运去宾夕法尼亚州利戈尼尔的“Idlewild and SoakZone”主题公园以西大约50英里（80公里）的匹兹堡儿童医院。,"The child, whose identity were not released, was flown to Children's Hospital of Pittsburgh about 50 miles (80 km) west of Idlewild and SoakZone theme park in Ligonier, Pennsylvania, a spokeswoman for Westmoreland County Emergency Services said.",威斯特摩兰 县 急救 服务中心 的 女 发言人 介绍 说 ， 受伤 孩子 （ 他 的 身份 没有 透露 ） 被 空运 至 位于 宾夕法尼亚州 利戈 尼尔 的 “ Idlewild   and   SoakZone ” 主题公园 以西 约 50 英里 （ 80 公里 ） 的 匹兹堡 儿童医院 。,44781a98-1694-4c0e-86a0-1b7df382cc42,
"""By Thursday morning, 里面的 sanctuaries 有 armed guards, 然后 gates became single file entry (with metal barriers), bags 在 way in 被 searched,"" 她告诉 The Local.","""By Thursday morning, there were armed guards inside the sanctuaries and then the gates became single file entry (with metal barriers) with bags being searched on the way in,"" she told The Local.",她 告诉 地方 报说 ： “ 星期四 早晨时 ， 圣地 里 部署 了 一些 武装 警卫 ， 然后 大门 （ 使用 金属 路障 ） 设置 成 只许 单排 队列 进入 ， 在 进门 的 过程 中要 搜查 包裹 。 ”,65a26d7c-e2bd-4273-8b92-046571c54cea,
CBC Television 报道说，警方 在 10号 收到消息，一个叫 Aaron Driver 的人 sought 制造炸弹来进行恐怖 attack.,CBC Television reported on August 11 that the police got the information on August 10 that a man called Aaron Driver sought to make bombs to launch terrorist attack.,加拿大 电视台 11 日 报道 说 ， 警方 10 日 得到 情报 ， 一个 名叫 阿伦 · 德赖 弗 的 人 要 制造 炸弹 发动 恐怖袭击 。,e0be666c-9762-4103-8aaf-cca0c3324225,
"Answer lor, sia kpkb leh, not very possible leh.",The answer sadly is: unlikely.,答案 是 令人 难过 的 ： 不太可能 。,87e0fc68-239d-4498-8a54-ff9b8121f5f8,
"On that day, 在 2016 年里约奥运会 游泳 200 米仰泳 决赛中, 中国选手 李广源 以 1 分 55 秒 89 的成绩 排第 6 名, 无缘 medal。","On that day, Chinese swimmer Li Guangyuan missed out on a medal in the men's 200m backstroke final in the Rio 2016 Olympics, coming sixth with 1 minute 55.89 seconds.",当日 ， 在 2016 年里 约 奥运会 游泳 200 米 仰泳 决赛 中 ， 中国 选手 李广 源以 1 分 55 秒 89 的 成绩 列 第 6 名 ， 无缘 奖牌 。,7bd9e5ef-2a66-4723-9c46-3696687bd94c,
"Hollywood also 需要 these 29 films needs to pay US$11.76 million average bonus to staff, while also Hollywood needs to pay staff.","Hollywood also needs to pay a certain amount of bonus to the union formed by various working staff, while these 29 films paid an average of US$11.76 million for that.",好莱坞 还 需要 向 由 各类 工作人员 组成 的 公会 支付 一定 的 红利 ， 这 29 部 电影 平均 支付 了 1176 万美元 。,544982b5-6bb2-4b4b-9a61-1328778527c9,
根据过去12个月的数据，房价危机 不只是 Stockholm 的现象，Goteborg 和 Malmo 地区的新房租赁等待时间也都有所延长。,"According to the data over the past 12 months, housing crisis is not just a phenomenon found in one city - the capital Stockholm, but in Goteborg and Malmo regions the waiting time for the availability of first-hand housing rental has also been extended in varying degrees.",而 最近 12 个 月 的 数据 显示 ， 住房 危机 不仅仅 是 首都 斯德哥尔摩 一个 城市 的 现象 ， 在 哥德堡 及 马尔默 地区 的 一手 房 租赁 房源 等待时间 也 有 不同 程度 延长 。,4ce0c134-0a78-487e-a5cc-4a98a5605827,
"Beijing time 8 month 12 day, at Rio Olympics, la men 200m mixed swim final, Ah Wang Shun grab bronze lah!","On August 12 Beijing Time, Chinese swimmer Wang Shun claimed the bronze medal in the men's 200m individual medley final at Rio 2016 Olympics.",北京 时间 8 月 12 日 ， 在 里 约 奥运会 男子 200 米 混合泳 决赛 中 ， 中国 选手 汪顺 夺得 铜牌 。,fe321f4d-4358-4895-b0ae-3aca7506f313,
