generated,src,tgt,id,label
发夹路段 是 指 蜿蜒 的 路段 ， 而 直行路段 则 表示 径直骑行 ： 简单 但 不 总是 容易 。,Hairpins are serpentines and straightforward means straight on: simple but not always easy.,发夹 路段 是 指 蜿蜒 曲折 的 路段 ， 而 直行 路段 则 表示 径直 骑行 ： 简单 但 并 不 总是 容易 。,d5402b2e-db3f-4d7b-bd3d-4927a8db5041,
Those trains were a symbol of luxury when they operated under that legendary name from 1883 to ah beng 2009.,Those trains were a symbol of luxury when they operated under that legendary name from 1883 to 2009.,从 1883 年 到 2009 年 以 其 传奇 名声 而 运营 的 期间 ， 那些 列车 曾经 是 一种 奢侈 的 象征 。,3a637316-91ee-4f12-ba92-03909b836efa,
"Sifo poll show one quarter respondent say disclose own info leh via email, SMS or social media last one year.","The survey data from Sifo shows that one quarter of the respondents said that they disclosed their personal information in email, SMS or other social media over the past 12 months.",Sifo 调查 数据 显示 ， 1 / 4 的 受访者 在 过去 的 12 个 月 中 在 电子邮件 ， 手机短信 或 其他 社交 媒体 中 透露 过 个人信息 。,265bcc85-c53d-4747-9666-47aa16e62a42,
"Ivan 分配我们 into three groups lor, for occasional short stretches of cycling on main roads, with Ivana at the very back leh, to encourage and ""scoop up"" as Ivan say lah.","Ivan divides us into three groups for the occasional short stretches of cycling on main roads, with Ivana at the very back to encourage and ""scoop up,"" as Ivan puts it.",在 偶尔 需要 在 主干道 上 骑行 时 ， 伊凡 将 我们 分为 了 三组 ， 由 伊凡 娜 在 队伍 的 最后 鼓励 队员 ， 就 像 伊凡 所说 的 把 队员 “ 捞起来 ” 。,8ad456bc-8211-4143-8fa0-a10dd338bedf,
"对于 retail investors, 上海综合指数 近期表现不错，都是因为资金不断流入上海-香港股票互联互通。","For retail investors, the Shanghai Composite Index fared well thanks to the continuous inflow of funds to the Shanghai-Hong Kong Stock Connect for a long time.",对于 散户 来说 ， 沪 港通 资金 长时间 持续 流入 后 ， 沪 指 的 表现 都 很 不错 。,74332eb5-128b-4332-817d-53fb899548bb,
他 将 回头 寻找 那些 经过 试用 和 测试 的 球员，不过 莱科 的确 值得 关注。,He will return to the tried and tested but Leko is worth keeping an eye on.,他 将 回头 寻找 那些 经过 试用 和 测试 的 球员 ， 不过 莱科 的确 值得 关注 。,5bec6bb7-3e10-4077-8944-2ac2013d4be4,
"According to Shanghai gov, 2016 forum leh, gonna focus on healthcare, smart city, culture, transport, etc, to enhance 2-sides' exchange and collaboration, you know, ""deepen all aspects of exchange and cooperation"" lah.","The 2016 forum will focus on exchanges in fields such as health care, smart cities, culture and transportation in a bid to ""deepen exchanges and cooperation in various aspects"" between the two cities, according to the Shanghai government.",据 上海市政府 表示 ， 2016 年 的 论坛 将 侧重于 医疗保健 、 智慧 城市 、 文化 与 交通 等 领域 的 交流 ， 从而 在 这 两个 城市 之间 “ 深化 各 方面 的 交流 与 合作 ” 。,7da30d52-dfc8-412d-9e02-febf095783f1,
"今天 (August 12) 北京会有 showers 或 thunderstorms, 但天气还是 hot. Citizens 应该在 going out 之前 take proper precautions.","Beijing will encounter showers or thunderstorms today (August 12), but the weather will remain hot. Citizens should take proper precautions before going out.",今天 （ 12 日 ） ， 北京 有 阵雨 或 雷阵雨 ， 天气 依然 闷热 ， 出行 请 注意 防范 。,de2e38e2-549d-4db7-b1fd-579f9f1c9220,
"Regarding Cross-Straits exchange, Taipei Mayor Ke Wenzhe say ah, ""互认互信互尊互助"" basis, Taipei government willing to try all kina affair increase Taiwan and Mainland ah, kindness leh.","With regard to the exchange across the Straits, mayor of Taipei, Ke Wenzhe indicated that based on ""mutual recognition, mutual understanding, mutual respect and mutual cooperation,"" the government of Taipei is willing to endeavor to try all affairs that can increase the kindness between Taiwan and the Mainland.",台北市 市长 柯文 哲对 两岸 交流 秉持 “ 互相 认识 、 互相 了解 、 互相 尊重 、 互相合作 ” 为 基础 ， 能 增进 两岸 善意 的 事务 ， 台北市 政府 都 愿意 努力 尝试 。,7feb747f-99b7-4706-8482-98197546346e,
Time-honored retailer Macy's 说在8月11日（当地时间）它 will 关闭100间店，accounting for around 15% of the total.,"Time-honored U.S. retailer Macy's said on August 11 (Local Time) that it will shut down 100 stores next year (2017), accounting for around 15% of the total.",美国 老牌 零售 企业 梅西 百货 当地 时间 11 日 表示 ， 将 在 明年 （ 2017 年 ） 年初 关闭 100 家 门店 ， 约 占 旗下 门店 总量 的 15% 。,64f04764-ecf3-4b45-b1b6-1cffa7548ba3,
"""The headteacher 打电话给我 and 说 I was barred from the school premises,"" added Mr Burnley.","""The headteacher then phoned me and said I was barred from the school premises,"" added Mr Burnley,",麦克白 先生 补充 道 ： “ 校长 然后 给 我 打 了 电话 ， 说 我 被 禁止 进入 学校 的 场所 。 ”,a072ecad-d4cb-4315-8431-a6ee2845bf0a,
我们 还 和 丹麦、挪威 及 美国 的 同行 一起 拼合 具体 的 证据 要素 在 一起。,"We also worked with colleagues in Denmark, Norway and the United States to piece specific elements of the evidence together.",我们 还 与 丹麦 、 挪威 和 美国 的 同行 合作 ， 将 具体 的 证据 要素 拼合 在 一起 。,22a18633-8431-49f1-bdb1-300a53abf505,
Rodgers信任35岁的荷人de Vries，因为他俩在Swansea一起工作过。,But Rodgers has trust in 35-year-old de Vries having worked with the Dutchman during their spell together at Swansea.,不过 ， 罗杰斯 对 35 岁 的 弗里斯 有 信心 ， 他 与 这位 荷兰人 在斯旺 西城 足球 俱乐部 时期 合作 得 很 好 。,cd3d0adf-be0e-4c47-b245-67d251b56d8e,
并且 故宫 的 排水系统 真的 十分 庞大， 保留 至今 的 古代 雨水 沟 的 长度 超过 15 公里， 其中 暗沟 的 长度 将近 13 公里。,"The Forbidden City's drainage system is very huge. The reserved ancient rain gutter measures more than 15 kilometers in length, while the subdrain is as long as nearly 13 kilometers.",并且 故宫 的 排水系统 十分 庞大 ， 保留 至今 的 古代 雨水 沟 的 长度 超过 15 公里 ， 其中 暗沟 长度 将近 13 公里 。,d983fc7c-2736-42f4-adf8-d81be794ee92,
该船 was 在 北海 被截停 while 从 博斯普鲁斯 驶向 南美洲.,The ship went from the Bosporus to South America before being stopped in the North Sea,该船 在 从 博斯普鲁斯 驶向 南美洲 的 途中 在 北海 被 截停,d43e4012-c47b-4de2-ab52-3f22757a031c,
"Lah, she leh, her task 和 me 是 go Croatia Northside, do ""luxury"" cruise 和 self-bike trekking with Freedom Treks lor!","Her mission and mine is a week-long ""luxury"" boat and bike tour of Croatia's north Dalmatian coast and islands, organised by Freedom Treks.",她 和 我 的 任务 是 在 克罗地亚 北部 的 达尔 马提亚 海岸 和 岛屿 进行 为期 一周 的 “ 豪华 ” 游轮 和 自行车 巡游 ， 组织 方为 Freedom   Treks 。,593b500e-1c30-4140-9789-a2e1ed861433,
