generated,src,tgt,id,label
"August 12 leh, got lehman say, ah, those series of bomb attacks on tourism industry in Thailand very serious leh, already cause four people die, related departments busy verifying motives and find perpetrator leh.","A string of bomb attacks targeting Thailand's crucial tourism industry have killed four people, officials said on August 12, sending authorities scrambling to identify a motive and find the perpetrators.",8 月 12 日有 官员 表示 ， 针对 在 泰国 至关重要 的 旅游业 的 一系列 炸弹 袭击 事件 已 导致 四人 死亡 ， 有关 部门 正 忙于 确认 事件 动机 并 寻找 肇事者 。,4de687f7-fd43-48e0-a153-86750bd83dd1,
"Lah, enter ""thirteen five"" “下降” ah, dis round of property market adjustment, because it original base number quite high, from data show “比” other regions “下降” “得” more, you know, entering “十三五” already, so “下降” “得” quite 多, not like “其他” areas leh.","After entering the period of the 13th Five-Year Plan, since its original base number was high, in terms of data manifestation, this round of adjustment has much more been reduced than other region.",进入 “ 十三 五 ” 以后 ， 这 一轮 房地产 的 调整 ， 由于 它 原来 的 基数 比较 高 ， 从 数据 表现 来讲 要 比 其他 地区 下降 得 多 。,c8a0175b-84da-41de-98e0-3bcacad08343,
"As of today 截至 today, only 就仅 got one research-level medical cannabis source approved by the Federation government 联邦政府, which is at Mississippi University 密西西比 大学.","Up until today, there has been only one federally approved source of research-grade medical marijuana, at the University of Mississippi.",截至 今日 ， 仅 有 一个 经 联邦政府 批准 的 研究 级 医用 大麻 的 来源 ， 在 密西西比 大学 。,9398e907-6ff9-439d-bf67-9fc2831067ae,
"Chio buay ah, Chicago futures market corn, wheat and soybean prices 11 days ago, leh, not same leh.","Corn, wheat and soybean futures prices delivered mixed performance at Chicago Board of Trade on November 11.",芝加哥 期货 交易所 玉米 、 小麦 和 大豆 期价 11 日 涨跌 不 一 。,c8118be8-ad87-43f4-982a-c466a494dcc8,
那天，华人游泳选手 Li Guangyuan 在 Rio 2016 Olympics 的男子200米仰泳决赛 missed out on medal，排第六，时间是 1 分钟 55.89 秒。,"On that day, Chinese swimmer Li Guangyuan missed out on a medal in the men's 200m backstroke final in the Rio 2016 Olympics, coming sixth with 1 minute 55.89 seconds.",当日 ， 在 2016 年里 约 奥运会 游泳 200 米 仰泳 决赛 中 ， 中国 选手 李广 源以 1 分 55 秒 89 的 成绩 列 第 6 名 ， 无缘 奖牌 。,faaa86cb-0ee3-4a17-99e9-0f24da92706a,
IMF 的执董们 say 中国有更加均衡和可持续经济增长的坚定决心，and they notice 到中国经济增长越来越多是由服务业和消费带动的。,"IMF's executive directors commended China for its steadfast determination to enable a more balanced and sustainable economic growth, and noticed that China's economic growth is increasingly driven by services and consumption.",IMF 执 董们 称赞 中国 实现 更加 均衡 和 可 持续 经济 增长 的 坚定 决心 ， 并 注意 到 中国 经济 增长 越来越 多地 由 服务业 和 消费 带动 。,fbb4461e-8149-41cf-953f-46ace64fc084,
"Meesi ah, tiap tiap leh, kena close 100 shop lor!",Macy's to close 100 stores,梅西 百货 将 关闭 100 个 店铺,e15277e7-4658-492e-83ed-756dd85d3858,
"Last year, in Holland, we organize kiasu kiasu boat and self-bike leh holiday activity, get 取得 round full success,于是 they decide to try try more adventurous activity, now they come 来到 Croatia.",Last year's barge and bike holiday in the Netherlands was such a success they decided to try something more adventurous and here they are in Croatia.,去年 在 荷兰 组织 的 驳船 与 自行车 假日活动 取得 了 圆满成功 ， 于是 他们 决定 尝试 更加 冒险 的 活动 ， 现在 他们 来到 了 克罗地亚 。,a2f041a2-f169-4e26-8148-ef3d8087b5d6,
"马晓光强调 must 正确解读 两岸关系 and 城市交流的性质, 他表示: “我们对两岸城市交流 hold 积极和开放的态度。”","""We hold an active and open attitude toward exchanges between cities of both sides,"" Ma said, stressing that the nature of cross-Strait relations and city exchanges should be interpreted correctly.",马晓光 强调 应当 正确 解读 两岸关系 与 城市 交流 的 性质 ， 他 表示 ： “ 我们 对 两岸 城市 交流 持 积极 与 开放 的 态度 。 ”,374506f7-65f7-46ba-8662-e3d7f648ebc7,
"She and me task is la, Freedom Treks organize, go Croatia Northside Dalmatia coast and island do one week ""luxury"" cruise and cycling tour leh!","Her mission and mine is a week-long ""luxury"" boat and bike tour of Croatia's north Dalmatian coast and islands, organised by Freedom Treks.",她 和 我 的 任务 是 在 克罗地亚 北部 的 达尔 马提亚 海岸 和 岛屿 进行 为期 一周 的 “ 豪华 ” 游轮 和 自行车 巡游 ， 组织 方为 Freedom   Treks 。,ba07414d-a417-434a-beb4-769f75643ac1,
"12th Five-Year Plan period, urbanisation develop and real estate expand, Liaoning infrastructure develop sound, real estate base quite high leh.","During the 12th Five-Year Plan, due to the development of urbanization and the expansion of the real estate, the development of infrastructure in Liaoning was sound and the base of its real estate was fairly high.",在 “ 十二五 ” 期间 ， 由于 城镇化 的 发展 ， 房地产 的 扩张 ， 辽宁 的 基础设施 发展 的 比较 好 ， 房地产 基数 也 比较 高 。,611e148f-3eef-40df-aed7-9e81030f8d8c,
"Then, Mr. Yang 和他的 nephew 一起去 police substation，结果发现那边的老奶奶 正好是他的妈妈。","Then, Mr. Yang together with his nephew went to the police substation, and found that the old lady there was exactly his mother.",随后 ， 杨先生 和 侄子 一同 到 红岛 边防 派出所 寻找 母亲 ， 果然 该所 里 的 阿婆 正是 杨先生 的 老 母亲 。,5ad70f16-b22c-4bd9-a25b-6df4dba6bc23,
你可以在这里 visit Katelyn Galloway's website.,You can visit Katelyn Galloway's website here.,你 可以 从 这里 访问 凯特 琳 · 加洛韦 的 网站 。,8861c455-078f-4357-80ad-7518cdbec95b,
我们必须问 why，和谁做的？,"We have to ask why, and who did it.",我们 必须 问一问 是 谁 为了 什么 而 这样 做 。,e19f0f23-0bd0-4074-9a7c-b6101d055f8a,
Lin Heming 讲 this year 上海代表团 包括了非政府和体育界的代表，双方会继续促进和扩大 城市对城市的交流。,Lin Heming said that this year Shanghai delegation includes the representatives from non-governmental and sports sectors and that both sides will continue to boost and expand city to city exchanges.,林鹤 明说 ， 今年 上海 代表团 中 包含 了 民间 与 体育 代表 ， 双方 将 持续 推动 、 扩大 城市 交流 。,e5f612cf-6624-45f1-a3d7-5660f658ec6e,
